province_name,district_name,metric_key,metric_value,unit,data_year,source_org,source_name,source_url,verified_at
Burdur,,school_count,283,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Burdur,,student_count,44915,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Adana,,school_count,1540,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Adana,,student_count,546995,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Mersin,,school_count,1616,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Mersin,,student_count,438702,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Hatay,,school_count,1639,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Hatay,,student_count,426969,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kahramanmaraş,,school_count,1126,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kahramanmaraş,,student_count,290273,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Osmaniye,,school_count,528,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Osmaniye,,student_count,142823,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kırıkkale,,school_count,258,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kırıkkale,,student_count,49366,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Aksaray,,school_count,526,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Aksaray,,student_count,90842,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Niğde,,school_count,429,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Niğde,,student_count,76124,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Nevşehir,,school_count,372,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Nevşehir,,student_count,60231,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kırşehir,,school_count,228,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kırşehir,,student_count,44075,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kayseri,,school_count,1164,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kayseri,,student_count,329009,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Sivas,,school_count,701,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Sivas,,student_count,115057,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Yozgat,,school_count,522,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
